id,entity_type,entity_schema,base_source,custom_view_sql,partition_filter,dependencies,created_at,updated_at,sub_panels,semantics,rules,ai_metadata,classification,display_format,version,blueprint_hash,form_type,ai_resolution,jsonb_schema,ui_general,ui_details_overview,ui_dashboard,is_active,organization_id,created_by,updated_by,metadata_intent,physical_intent,ui_tableview,ui_gridview,ui_kanbanview,ui_ganttview,ui_calendarview,ui_mapview,ui_detailview,rls_config,registration_mode,dependencies_locked
208a8e5c-8ec9-40da-b5de-4b992125e02a,accounts,crm,crm.accounts,,,"[""unified.organizations"",""core.unified_objects""]",2026-02-09 20:48:10.849427+05:30,2026-03-25 02:15:19.603634+05:30,[],"{""context"": {""title"": ""Accounts"", ""status"": ""draft""}}","{""registration"": {""mode"": ""anchor"", ""is_graduated_only"": false, ""migrated_to_column"": true}}","{""embedding_model"": ""text-embedding-3-large""}",master,,3,,simple,direct,"{""type"": ""object"", ""properties"": {""type"": {""enum"": [""customer"", ""prospect"", ""partner"", ""competitor""], ""type"": ""string""}}}","{""details"": {""name"": ""Accounts"", ""description"": ""Accounts Description"", ""related_table"": null}, ""filters"": [], ""features"": {""print"": false, ""export"": false, ""import"": false, ""kanban"": false, ""sorting"": false, ""calendar"": false, ""filtering"": false, ""export_pdf"": false, ""pagination"": false, ""bulk_actions"": false}, ""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""crm_accounts_min"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""mapview"", ""metricsview""]}","{""staticTabs"": [{""tab"": ""Overview"", ""label"": ""Overview"", ""order"": 1}], ""dynamicTabs"": [{""label"": ""contacts"", ""order"": 2, ""props"": {""tabs"": [], ""filters"": [{""value"": ""id"", ""column"": ""account_id""}], ""entityType"": ""crm.contacts""}, ""detailView"": false}]}",{},true,,,,"[{""key"": ""automation_bp_instance_id"", ""foreign_key"": {""source_table"": ""automation.bp_instances"", ""source_column"": ""id"", ""display_column"": ""id""}, ""display_name"": ""Automation Bp Instance Id"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""discrete"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""automation_esm_instance_id"", ""foreign_key"": {""source_table"": ""automation.esm_instances"", ""source_column"": ""id"", ""display_column"": ""id""}, ""display_name"": ""Automation Esm Instance Id"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""discrete"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""churn_risk_score"", ""foreign_key"": null, ""display_name"": ""Churn Risk Score"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""measure"", ""order"": [], ""keyword"": false, ""sub_type"": ""continuous"", ""default_aggregation"": ""sum""}, ""is_displayable"": true}, {""key"": ""created_at"", ""foreign_key"": null, ""display_name"": ""Created At"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""temporal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""created_by"", ""foreign_key"": null, ""display_name"": ""Created By"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""discrete"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""custom"", ""foreign_key"": null, ""display_name"": ""Custom"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""deleted_at"", ""foreign_key"": null, ""display_name"": ""Deleted At"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""temporal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details"", ""foreign_key"": null, ""display_name"": ""Details"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details__address"", ""path_depth"": 2, ""foreign_key"": null, ""display_name"": ""Address"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details__contact_email"", ""path_depth"": 2, ""foreign_key"": null, ""display_name"": ""Contact_email"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details__contact_person"", ""path_depth"": 2, ""foreign_key"": null, ""display_name"": ""Contact_person"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details__contact_phone"", ""path_depth"": 2, ""foreign_key"": null, ""display_name"": ""Contact_phone"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details__country"", ""path_depth"": 2, ""foreign_key"": null, ""display_name"": ""Country"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details__gst_no"", ""path_depth"": 2, ""foreign_key"": null, ""display_name"": ""Gst_no"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details__pincode"", ""path_depth"": 2, ""foreign_key"": null, ""display_name"": ""Pincode"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details__state"", ""path_depth"": 2, ""foreign_key"": null, ""display_name"": ""State"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""details__supplier_name"", ""foreign_key"": null, ""display_name"": ""Details  Supplier Name"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": true, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""display_id"", ""foreign_key"": null, ""display_name"": ""Display Id"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": true, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""discrete"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""domain"", ""foreign_key"": null, ""display_name"": ""Domain"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""engagement_score"", ""foreign_key"": null, ""display_name"": ""Engagement Score"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""measure"", ""order"": [], ""keyword"": false, ""sub_type"": ""continuous"", ""default_aggregation"": ""sum""}, ""is_displayable"": true}, {""key"": ""entity_instance_id"", ""foreign_key"": {""source_table"": ""crm.entity_instances"", ""source_column"": ""id"", ""display_column"": ""id""}, ""display_name"": ""Entity Instance Id"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""discrete"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""estimated_value"", ""foreign_key"": null, ""display_name"": ""Estimated Value"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""expected_close_date"", ""foreign_key"": null, ""display_name"": ""Expected Close Date"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""temporal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""geofence"", ""foreign_key"": null, ""display_name"": ""Geofence"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""id"", ""foreign_key"": {""source_table"": ""unified.organizations"", ""source_column"": ""id"", ""display_column"": ""display_id""}, ""display_name"": ""Id"", ""is_mandatory"": true, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""discrete"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""industry"", ""foreign_key"": null, ""display_name"": ""Industry"", ""is_mandatory"": true, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""intent_category"", ""foreign_key"": {""source_table"": ""core.enums"", ""source_column"": ""value"", ""display_column"": ""value""}, ""display_name"": ""Intent Category"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""intent_category_type"", ""foreign_key"": {""source_table"": ""core.enums"", ""source_column"": ""value_type"", ""display_column"": ""value""}, ""display_name"": ""Intent Category Type"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""nominal"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""is_active"", ""foreign_key"": null, ""display_name"": ""Is Active"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""boolean"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""is_individual"", ""foreign_key"": null, ""display_name"": ""Is Individual"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""dimension"", ""order"": [], ""keyword"": false, ""sub_type"": ""boolean"", ""default_aggregation"": ""count""}, ""is_displayable"": true}, {""key"": ""lat"", ""foreign_key"": null, ""display_name"": ""Lat"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""measure"", ""order"": [], ""keyword"": false, ""sub_type"": ""continuous"", ""default_aggregation"": ""sum""}, ""is_displayable"": true}, {""key"": ""lng"", ""foreign_key"": null, ""display_name"": ""Lng"", ""is_mandatory"": false, ""is_read_only"": false, ""is_searchable"": false, ""semantic_type"": {""role"": ""measure"", ""order"": [], ""keyword"": false, ""sub_type"": ""continuous"", ""default_aggregation"": ""sum""}, ""is_displayable"": true}, {""key"": ""loca...",,"{""fields"": [{""order"": 1, ""fieldName"": ""Name"", ""fieldPath"": ""name""}, {""order"": 2, ""fieldName"": ""Display Id"", ""fieldPath"": ""display_id""}, {""order"": 3, ""fieldName"": ""Short Code"", ""fieldPath"": ""short_code""}], ""actions"": {""row"": [{""form"": ""crm_accounts_min"", ""name"": ""Edit""}, {""form"": """", ""name"": ""Details""}, {""form"": """", ""name"": ""Delete""}], ""bulk"": []}, ""groupBy"": [], ""showFeatures"": [""search"", ""pagination"", ""sorting""], ""exportOptions"": [""csv"", ""excel""]}",{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": null, ""contact_col"": null}",anchor,true
a421bace-172e-475a-824a-9369073a5f41,action_approvals,ai_mcp,ai_mcp.action_approvals,,,[],2026-02-23 00:40:13.533323+05:30,2026-03-23 23:13:23.591859+05:30,[],{},{},"{""embedding_model"": ""text-embedding-3-large""}",transactional,,1,,simple,direct,,{},{},{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""tenant_isolation""}",none,false
0e5cc2d1-e241-433c-ae92-4f4fd1c7ebc2,agents,ai_mcp,ai_mcp.agents,,,[],2026-01-24 10:33:06.997383+05:30,2026-03-23 23:13:23.591859+05:30,"[{""fk"": ""object_id"", ""icon"": ""paperclip"", ""name"": ""Attachments"", ""source"": ""core.object_attachments""}, {""fk"": ""object_id"", ""icon"": ""sticky-note"", ""name"": ""Notes"", ""filter"": ""comment_type = 'note'"", ""source"": ""core.object_comments""}, {""fk"": ""object_id"", ""icon"": ""activity"", ""name"": ""Activities"", ""source"": ""core.object_activities""}, {""fk"": ""object_id"", ""icon"": ""tag"", ""name"": ""Tags"", ""source"": ""core.object_tags""}]","{""domain"": ""ai"", ""context"": {""title"": ""Agents"", ""module"": ""ai_mcp"", ""status"": ""applied"", ""keywords"": [""agent"", ""ai"", ""bot"", ""assistant""], ""description"": ""AI agents and intelligent assistants.""}, ""example_questions"": [""List all agents"", ""Show agent configurations"", ""Find active AI bots""]}",{},"{""embedding_model"": ""text-embedding-3-large""}",configuration,,1,,simple,direct,,"{""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""agents_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}",{},{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""configuration""}",none,false
56d0e877-765c-4ba5-ba83-d4c6f85de2ec,applications,hr,hr.applications,,,"[""core.unified_objects""]",2026-02-04 02:11:34.583148+05:30,2026-03-25 02:15:19.603634+05:30,[],"{""context"": {""title"": ""Job Applications"", ""module"": ""hr"", ""status"": ""draft""}}","{""registration"": {""mode"": ""graduated"", ""is_graduated_only"": true, ""migrated_to_column"": true}}","{""embedding_model"": ""text-embedding-3-large""}",master,"{""format"": ""APP-{SEQ}"", ""counter_padding"": 5}",1,,composite,chain_resolve,"{""type"": ""object"", ""required"": [""processStage""], ""properties"": {""disposition"": {""type"": ""object"", ""properties"": {""status"": {""type"": ""string""}}}, ""processStage"": {""type"": ""string""}}}","{""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""applications_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}","{""staticTabs"": [], ""dynamicTabs"": [{""label"": ""Candidates"", ""order"": 1, ""props"": {""tabs"": [], ""filters"": [{""value"": ""candidate_id"", ""column"": ""id""}], ""entityType"": ""hr.candidates""}, ""detailView"": false}, {""label"": ""Requisition"", ""order"": 2, ""props"": {""tabs"": [], ""filters"": [{""value"": ""requisition_id"", ""column"": ""id""}], ""entityType"": ""hr.requisitions""}, ""detailView"": false}]}",{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": null, ""contact_col"": null}",graduated,true
bd66198c-a8cd-472c-82c2-551642e264c5,assessments,hr,hr.assessments,,,"[""core.unified_objects""]",2026-02-04 02:11:34.583148+05:30,2026-03-25 02:14:27.012553+05:30,[],"{""context"": {""title"": ""Assessments"", ""module"": ""hr"", ""status"": ""draft""}}",{},"{""embedding_model"": ""text-embedding-3-large""}",transactional,"{""format"": ""ASS-{SEQ}"", ""counter_padding"": 5}",1,,dependent,resolve_parent,"{""type"": ""object"", ""required"": [""assessmentStatus""], ""properties"": {""assessmentStatus"": {""type"": ""string""}, ""assessmentRequester"": {""type"": ""object"", ""required"": [""assessmentName""], ""properties"": {""assessmentName"": {""type"": ""string""}}}}}","{""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""assessments_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}","{""staticTabs"": [], ""dynamicTabs"": [{""label"": ""Applications"", ""order"": 1, ""props"": {""tabs"": [], ""filters"": [{""value"": ""application_id"", ""column"": ""id""}], ""entityType"": ""hr.applications""}, ""detailView"": false}]}",{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": null, ""contact_col"": null}",none,true
0e30a9d4-ba5d-48f8-a5c5-8eb4c0513c3b,assets,unified,unified.assets,,,"[""core.unified_objects""]",2026-02-28 03:02:48.650833+05:30,2026-03-25 02:15:19.603634+05:30,[],{},"{""registration"": {""mode"": ""anchor"", ""is_graduated_only"": false, ""migrated_to_column"": true}}","{""embedding_model"": ""text-embedding-3-large""}",master,"{""format"": ""AST-{COUNTER}"", ""token_config"": [{""type"": ""counter"", ""token"": ""{COUNTER}""}], ""counter_config"": {""reset_period"": ""NEVER""}, ""counter_padding"": 6}",1,,simple,direct,,{},{},{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": null, ""contact_col"": null}",anchor,true
470fd014-ee78-4c76-88da-5d38a164f44c,candidates,hr,hr.candidates,,,"[""unified.contacts"",""core.unified_objects""]",2026-02-04 02:11:34.583148+05:30,2026-03-25 02:15:19.603634+05:30,[],"{""domain"": ""hr"", ""context"": {""title"": ""Candidates"", ""module"": ""hr"", ""status"": ""draft"", ""keywords"": [""candidate"", ""talent"", ""applicant"", ""recruitment"", ""cv"", ""resume""], ""description"": ""Talent acquisition and candidate management lifecycle.""}, ""assignments"": [{""sql"": ""COALESCE(NEW.details->'person'->'name'->>'given', '') || ' ' || COALESCE(NEW.details->'person'->'name'->>'family', 'Unnamed Candidate')"", ""column"": ""name"", ""on_insert"": true, ""overwrite"": true}, {""sql"": ""'hr'"", ""column"": ""module"", ""on_insert"": true}, {""sql"": ""'active'"", ""column"": ""status"", ""on_insert"": true}, {""sql"": ""'person'"", ""column"": ""contact_type"", ""on_insert"": true}], ""example_questions"": [""List all active candidates"", ""Find candidates with specific skills"", ""Show recent job applicants""]}","{""registration"": {""mode"": ""graduated"", ""is_graduated_only"": true, ""migrated_to_column"": true}}","{""embedding_model"": ""text-embedding-3-large""}",master,,4,,simple,direct,"{""type"": ""object"", ""required"": [""person""], ""properties"": {""person"": {""type"": ""object"", ""required"": [""name"", ""communication""], ""properties"": {""name"": {""type"": ""object"", ""required"": [""given"", ""family""], ""properties"": {""given"": {""type"": ""string""}, ""family"": {""type"": ""string""}}}, ""communication"": {""type"": ""object"", ""properties"": {""email"": {""type"": ""array""}}}}}}}","{""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""candidates_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}","{""staticTabs"": [{""tab"": ""Activities"", ""label"": ""Activities"", ""order"": 1}, {""tab"": ""Logs"", ""label"": ""Logs"", ""order"": 2}], ""dynamicTabs"": [{""label"": ""Applications"", ""order"": 3, ""props"": {""tabs"": [], ""filters"": [], ""entityType"": ""hr.applications""}, ""detailView"": false, ""details_overview"": false}]}",{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": null, ""contact_col"": null}",graduated,true
d0ff31d2-2a6c-45e8-923c-6c4f2c2c0737,checklists,unified,unified.checklists,,,"[""core.unified_objects""]",2026-02-26 20:19:10.713403+05:30,2026-03-25 02:15:19.603634+05:30,[],{},"{""registration"": {""mode"": ""anchor"", ""is_graduated_only"": false, ""migrated_to_column"": true}}","{""embedding_model"": ""text-embedding-3-large""}",transactional,,1,,simple,direct,,{},{},{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": null, ""contact_col"": null}",anchor,true
1d9ba450-99c1-483e-809c-4f988643b7da,compensation,hr,hr.compensation,,,[],2026-02-23 00:24:40.402282+05:30,2026-03-23 23:13:23.591859+05:30,[],{},{},"{""embedding_model"": ""text-embedding-3-large""}",transactional,,1,,simple,direct,,{},{},{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""tenant_isolation""}",none,false
e2c21e07-429c-4b64-95d5-c8816b37035c,consultants,hr,hr.profiles,,employment_type = 'consultant',[],2026-01-24 10:47:51.638851+05:30,2026-03-23 23:13:23.591859+05:30,[],"{""context"": {""title"": ""Consultants"", ""module"": ""hr"", ""status"": ""applied""}}",{},"{""embedding_model"": ""text-embedding-3-large""}",transactional,,4,,simple,direct,,"{""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""consultants_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}",{},{},false,,,,[],,{},{},{},{},{},{},{},{},none,false
872b925c-d923-4b6d-8d0b-4ee16f7e25ea,contacts,crm,crm.contacts,,,"[""unified.contacts"",""core.unified_objects""]",2026-02-22 23:16:59.276607+05:30,2026-03-25 02:14:27.012553+05:30,[],"{""context"": {""title"": ""Contacts"", ""status"": ""alpha""}}",{},"{""embedding_model"": ""text-embedding-3-large""}",master,,1,,simple,direct,,{},{},{},true,,,,[],"CREATE TABLE crm.contacts (
    id uuid PRIMARY KEY REFERENCES unified.contacts(id) ON DELETE CASCADE,
    account_id uuid REFERENCES crm.accounts(id),
    entity_instance_id uuid UNIQUE REFERENCES crm.entity_instances(id),
    organization_id uuid NOT NULL,
    location_id uuid,
    is_primary boolean DEFAULT false,
    score numeric DEFAULT 0,
    lead_source text,
    source_lead_id uuid,
    source_customer_id uuid,
    linkedin_url text,
    tags text[],
    last_contacted_at timestamptz,
    last_engaged_at timestamptz,
    is_partner_delegate boolean DEFAULT false,
    created_at timestamptz DEFAULT now(),
    updated_at timestamptz DEFAULT now(),
    created_by uuid,
    updated_by uuid,
    automation_bp_instance_id uuid,
    automation_esm_instance_id uuid,
    display_id text UNIQUE
);",{},{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": ""account_id"", ""contact_col"": null}",graduated,true
4a44a770-40eb-46da-9b24-8a763018dad8,contacts,unified,unified.contacts,,,"[""core.unified_objects""]",2026-02-06 07:58:11.98248+05:30,2026-03-25 02:15:19.603634+05:30,[],"{""domain"": ""operations"", ""context"": {""title"": ""Contacts"", ""module"": ""unified"", ""status"": ""draft"", ""keywords"": [""contact"", ""identity"", ""person""], ""description"": ""Unified view of all external and internal contacts.""}, ""example_questions"": [""List unified contacts"", ""Find contacts in identity""]}","{""registration"": {""mode"": ""anchor"", ""is_graduated_only"": false, ""migrated_to_column"": true}}","{""embedding_model"": ""text-embedding-3-large""}",master,,1,,simple,direct,"{""type"": ""object"", ""properties"": {""contact_type"": {""enum"": [""standard"", ""billing"", ""technical"", ""partner_delegate""], ""type"": ""string""}}}","{""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""contacts_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}",{},{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": null, ""contact_col"": null}",anchor,true
630086d7-d0f4-44be-b5b2-fd9be73cee2a,contractors,hr,hr.profiles,,employment_type = 'contract',"[""identity.organization_users""]",2026-01-24 10:33:06.997383+05:30,2026-03-23 23:13:23.591859+05:30,[],"{""context"": {""title"": ""Contractors"", ""module"": ""hr"", ""status"": ""applied""}}",{},"{""embedding_model"": ""text-embedding-3-large""}",transactional,,4,,simple,direct,,"{""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""contractors_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}",{},{},false,,,,[],,{},{},{},{},{},{},{},{},none,false
401332c8-097f-4c09-92d1-f9fcc287ac27,contracts,ctrm,ctrm.contracts,,,"[""core.unified_objects""]",2026-02-06 16:54:58.457905+05:30,2026-03-25 02:14:27.012553+05:30,[],"{""tags"": [""status""], ""time"": [""signing_date""], ""context"": {""title"": ""Contracts"", ""status"": ""draft""}, ""identity"": {""key"": ""id"", ""display"": ""contract_ref""}}",{},"{""embedding_model"": ""text-embedding-3-large""}",transactional,,1,,dependent,resolve_parent,,"{""default_view"": ""kanbanview"", ""global_actions"": [{""form"": ""contracts_form"", ""label"": ""New""}], ""available_views"": [""tableview"", ""gridview"", ""detailview"", ""kanbanview"", ""metricsview""]}",{},{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""tenant_isolation""}",none,true
7adf56b0-61f6-4742-948d-b1fa58ab9343,contracts,esm,esm.contracts,,,"[""unified.documents"",""core.unified_objects""]",2026-02-09 20:48:10.849427+05:30,2026-03-25 02:14:27.012553+05:30,[],"{""context"": {""title"": ""Contracts"", ""status"": ""draft""}, ""has_anchor"": true}",{},"{""embedding_model"": ""text-embedding-3-large""}",master,,1,,simple,direct,,{},{},{},true,,,,[],"CREATE TABLE IF NOT EXISTS esm.contracts (
  id uuid PRIMARY KEY DEFAULT uuid_generate_v4(),
  account_id uuid NOT NULL,
  start_date date NOT NULL,
  end_date date NOT NULL,
  organization_id uuid NOT NULL,
  location_id uuid,
  details jsonb DEFAULT '{}'::jsonb,
  display_id varchar,
  is_active bool DEFAULT true,
  search_vector tsvector,
  created_at timestamptz DEFAULT now(),
  created_by uuid,
  updated_at timestamptz DEFAULT now(),
  updated_by uuid
);",{},{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": ""account_id"", ""contact_col"": null}",graduated,true
b427a33d-11e8-4fb2-85de-b13fb23a951d,conversations,esm,esm.conversations,,,"[""core.unified_objects""]",2026-03-16 16:56:17.654244+05:30,2026-03-25 02:14:27.012553+05:30,[],"{""priority"": 2, ""resolution"": {""primary_jsonb"": ""details""}}",{},"{""embedding_model"": ""text-embedding-3-large""}",transactional,,2,,simple,direct,,{},{},{},true,,,,[],,{},{},{},{},{},{},{},"{""template"": ""standard"", ""vendor_col"": null, ""account_col"": ""account_id"", ""contact_col"": null}",none,true
